Brand_ID,Brand,Owner_ID,Notes
565,Vita Coco,561,I think they're in the process of getting bought out by Anheuser Busch
566,Vitafusion,4,
567,Viva,128,
568,Viviscal,4,
569,Vlasic,50,
570,Waffle Crisp,11,
571,Walden's Farms dressing,567,
572,Wasa,37,
573,Weetabix,11,
574,Welch's,371,
575,Wheeties,16,
576,Wicked BOLD chocolate,572,"Follow this affiliate link to purcahse directly from this family owned brand and support my channel at the same time! Use the coupon code cancelthisclothingcompany for 10% off your order as well! Everybody wins. Supporting small businesses and my channel through these affiliate links means a lot to me and the family owned businesses I promote, so thank you for your support. "
577,Wild Mikes,573,Has a children's charity foundation similar to Newman's Own
578,Wishbone,2,
579,Would,575,"This one's weird. Would is owned by Barstool Brands (like Barstool sports) and Potnoy apparently sold it to Penn entertainment, and then they have sold it back to Portnoy as of 2023 I believe..."
580,Xtend,78,Owned by Nutrabolt
581,Yerbae,577,Likely going to get short sold and crushed and then bought out by a big competitor for pennies on the dollar if you ask me
582,Yogi,578,Owned via East West Tea Company
583,York Peppermint,10,
584,Yuban,202,
585,Yumi,581,
586,Zarbees,30,Owned by Kenvue whic is owned by J&J
587,Zesta,105,
