Owner,Owner_ID,Ownership Type
Prestige Consumer Healthcare Inc,303,Megacorporation
"Lisa Barnett, Angela Vranich, Michelle Muller, and Ben Lewis",304,Founder owned
Alex Friedman & Jordana Kier,305,Female Founder Owned
MidOcean,306,Private Equity
Nature's Path,307,Founder Family Owned
Johnson & Johnson,308,Megacorp
Albertsons,309,Megacorp
General Mills,310,Megacorp
Harry's,311,Private Equity
Procter & Gamble,312,Megacorporation
Jane May Graves,313,Female Founder Owned
Reily Family,314,Family owned
Mars,315,Megacorp
Oliver Zak & Selom Agbitor,316,Founder owned
The Bronner Family,317,Family owned
Magic Spoon,318,Founder Owned
Post,319,Megacorp
Post,320,Megacorp
Amazon,321,Megacorp
Katzev family,322,Family owned
MAV,323,Private equity/insider controlled corporation
Marinelli family,324,Family owned
Kameda Seika,325,Japanese Megacorp
Johnson & Johnson,326,Mega corporation
McDonald's,327,Megacorp
Axel Oberwelland,328,Family Owned
Nature's Path,329,Founder Family Owned
S.C. Johnson & Son,330,Private Equity
Jeff Mezzetta & Family,331,Family Owned
Revlon- Ronald Perelman,332,Private Equity
Procter & Gamble,333,Mega corporation
Mars,334,Megacorp
Bary Robbins & David Levy,335,"Founder owned, PE backed"
Coca-Cola,336,Megacorp
Kraft-Heinz,337,Megacorp
Miko Branch,338,Female founder owned
Gruma Corp.,339,Megacorp
Post,340,Megacorp
Zuru Edge,341,Privately owned
Monster Beverage Corp,342,Megacorp
Eugenia Akuete,343,Founder owned
JAB holding company,344,Megacorp
Privately Owned,345,Privately owned
Kellogg's,346,Megacorp
Xiwang Foodstuffs,347,Megacorp
Sue Ismiel,348,Founder owned
Conagra Brands,349,Megacorporation
Magnano Family,350,Family owned
GSK,351,Megacorp
Procter & Gamble,352,Megacorp
Susie Hewson,353,Female Founder Owned
Aurobindo Pharma USA inc.,354,Mega Corporation
Otsuka Pharmaceutical Co.,355,Mega Corporation
Nestle,356,Mega Corporation
Schwabe Group,357,Mega Corporation
Johnson & Johnson,358,Megacorp
The Newman's Own Foundation,359,Private Non-Profit
Migros,360,Co-op
Heather K. Terry & Private Equity backers,361,complicated
Nestle,362,Megacorporation
Monster Beverage Corp,363,Megacorp
Bethany and Rocky Pagliarulo,364,Founder family owned
Value Max Products,365,Private Equity
Ahmed Rahim and Reem Hassani,366,Family owned
Reckitt Benckiser Group,367,Megacorporation
Albertson's,368,Megacorporation
General Mills,369,Megacorp
Edgewell Personal Care,370,Megacorp
Co-op,371,Farmer's Co-op
"Shannon, Britta, Lindsay",372,Female Founder owned
Bani Bahari & Jonathan Lawrence,373,Family owned
Johnson & Johnson,374,Mega corporation
The Hershey Company,375,Megacorp
Jordan Morrow & Worth Anne Herrell,376,Female Founder owned
Advent International,377,Private Equity
Procter & Gamble,378,Megacorp
Procter & Gamble,379,Megacorp
Unilever,380,Mega Corporation
Jennifer Garner & John Foraker,381,Founder owned
Bayer,382,Mega Corporation
One Mighty Mill,383,Founder owned
Glanbia Plc,384,Megacorp
Church & Dwight,385,Megacorporation
Randy Buresh and Pam Martin-Buresh,386,Family Owned
Post,387,Megacorp
David Sandoval,388,Founder owned
Jeff Lichtenstein,389,Family owned
Co-op,390,Farmer's Co-op
Employee Owned,391,Employee Owned
"Litehouse, Inc",392,Employee owned
Brook Harvey Taylor and husband,393,Female Founder owned
Procter & Gamble,394,Megacorporation
Nature's Path,395,Founder Family Owned
Procter & Gamble,396,Mega corporation
Walmart,397,Megacorp
Harris family,398,Family owned
Yvon Chouinard,399,Founder owned
Coca-cola,400,Megacorp
Spell Capital Partners,401,Private Equity
Post,402,Megacorp
Abbott Labs,403,Megacorporation
JAB Holding Company,404,Megacorp
Haleon,405,Megacorp
Procter & Gamble,406,Mega corporation
Brad Pyatt,407,Founder owned-mega corp backed
Edgewell Personal Care,408,Megacorp
HACO,409,Private Equity
Sun-Maid,410,Co-op
"Mat Fraser, Heber Cannon and Marston Sawyers (aka the “Buttery Bros”), Paul Haverland ",411,Founder owned
Auricchio family (Bel Gioioso),412,Family owned
Unilever,413,Megacorp
Jeff Bergadine & Michael Deal,414,Founder owned
Coca-cola,415,Megacorp
Campbell's Soup Company,416,Mega Corporation
Post,417,Megacorp
Nabisco,418,Megacorporation
Congo Brands,419,Private Equity
Pepsico,420,Megacorp
Post,421,Megacorp
Procter & Gamble,422,Megacorp
Kimberly-Clark,423,Megacorporation
Branded Group,424,Private Equity
JM brands,425,Private Equity
PepsiCo,426,Megacorp
Koch Industries,427,Megacorp
Mizkan Group,428,Mega Corporation
Nick Keller,429,Founder owned
Kellogg's,430,Megacorp
General Mills,431,Megacorp
Campbell's Soup Company,432,Mega Corporation
Donda Mullis & Ronnie Shugar,433,Founder Family Owned
Aida and Lidia,434,Female Founder owned
Schwan's Consumer Brands,435,CJ CheilJedang
Mateschitz & Yoovidhya families,436,Family owned
The Hershey Company,437,Megacorp
General Mills,438,Megacorp
Coca-Cola,439,Megacorp
MAV,440,Private equity/insider controlled corporation
Boohoo is largest shareholder,441,Corporation (maybe mega?)
SLG brands,442,Private Equity
Kellogg's,443,Megacorp
Grisi,444,Megacorporation
Thriving Brands,445,Private Equity
Mondelez International,446,Megacorporation
Julissa Prado,447,Female Founder owned
Brown & Haley,448,Family Owned
Pepsico,449,Megacorp
The Hershey Company,450,Megacorp
Bernatello's Foods,451,Ramsay Family
PepsiCo,452,Megacorp
Rumiano family,453,Family owned
Smuckers,454,Megacorp
Noelle Deysel & Nic Stella,455,Founder owned
George Weston Limited,456,Private Equity
Iskra Laurence,457,Influencer founder owned- PE backed
Smuckers,458,Megacorp
Gentine family,459,Family owned
Unilever,460,Megacorp
Kimberly-Clark,461,Megacorp
Fallucca Family,462,Family owned
Shiseido,463,Megacorp
Nestle,464,Megacorp
Coty- JAB holding company,465,Mega corporation
Procter & Gamble,466,Megacorp
GSK + Pfizer,467,Megacorp
Serenity & Joe Carr,468,Family owned
TH Foods Inc.,469,Privately owned
Henkel,470,Mega corporation
Tengram Capital Partners,471,Private Equity
Unilever,472,Mega corporation
Unilever,473,Megacorporation
Post,474,Megacorp
United Bakeries Group,475,Megacorporation
Albertson's,476,Megacorporation
Abbott Labs,477,Megacorporation
Unilever,478,Megacorp
Katlin Smith,479,Female Founder owned
Kroger,480,Mega Corporation
Mars,481,Megacorp
Dean & Steven Neiger,482,Founder led
Nature's Path,483,Founder Family Owned
Kellogg's,484,Megacorp
PepsiCo,485,Megacorp
The Dee Family,486,Family owned
Coca-cola,487,Megacorp
Mars,488,Megacorp
Post,489,Megacorp
Campbells Soup,490,Megacorp
Atalanta Corporation,491,Megacorporation
Utz Brands,492,Megacorp
Koch Industries,493,Megacorp
Kellogg's,494,Megacorp
Colgate-Palmolive,495,Megacorp
Neptune Wellness Solutions,496,Megacorp
Huy Fong Foods,497,Family owned
Unilever,498,Megacorp
Starbucks,499,Megacorp
Energizer,500,Megacorp
Treehouse Foods,501,Megacorporation
Nestle,502,Megacorp
McCormick,503,Megacorp
Unilever,504,Mega corporation
SC Johnson & co,505,Mega corporation
PepsiCo,506,Megacorp
Co-op,507,Farmer's Co-op
Ken's Foods,508,Family owned
Post,509,Megacorp
Post,510,Megacorp
Grupo Bimbo,511,Megacorp
Unilever,512,Megacorp
Procter & Gamble,513,Megacorp
CVC Capital Partners,514,Private Equity
Starbucks,515,Megacorp
Tata consumer products,516,Megacorp
Chris-Tia Donaldson,517,Female Founder owned
Maya Smith,518,Female Founder owned
Lauren Scholte Wang,519,Female Founder owned
Beatrice Dixon,520,Female Founder and Family Owned
Peter Harris,521,Privately owned
American Licorice Company,522,Privately owned
Procter & Gamble,523,Megacorp
Co-op,524,Farmer's Co-op
Restaurant Brands International,525,Megacorp
Utz Brands,526,Megacorp
"Sofia Laurell, Betsy Fore, Carolyn O'hare",527,Female Founder owned
Colgate-Palmolive,528,Megacorp
Nestle,529,Megacorp
Colgate Palmolive,530,Megacorp
Schwan's Consumer Brands,531,CJ CheilJedang
Henk Jan Beltman,532,Founder owned
Tootsie Roll Industries,533,Megacorp
PepsiCo,534,Megacorp
General Mills,535,Megacorp
General Mills,536,Megacorp
Kellanova,537,Megacorporation
Taraji P Henson,538,Female Founder owned
Sadler Family,539,Family owned
Co-op,540,Farmer's Co-op
Unilever,541,Mega corporation
Mondelez International,542,Megacorporation
General Mills,543,Megacorp
Pepsico,544,Megacorp
JAB Holding Company,545,Megacorp
Lenny Kravitz & Julian & Cody Levine,546,Founder owned
Associated British Foods,547,Megacorp
Mars,548,Megacorp
Kimberly-Clark,549,Megacorp
Feldkamp family,550,Family owned
Renee Morris,551,Female bought and owned!
Post,552,Megacorp
Unique Snacks,553,Family Owned
The Bronner Family,554,Family owned
Psyche Terry,555,Female Founder owned
Campbell's Soup,556,Megacorp
Unilever,557,Megacorporation
WM Partners,558,Private Equity
Procter & Gamble and Helen of Troy,559,Mega Corporation
Dare foods,560,Family owned
sketchy,561,complicated
Church & Dwight,562,Mega Corporation
Kimberly-Clark,563,Megacorp
Church & Dwight,564,Mega corporation
Conagra Brands,565,Megacorporation
Post,566,Megacorp
HKW,567,Private Equity
Barilla,568,Megacorporation
Post,569,Megacorp
Co-op,570,Farmer's Co-op
General Mills,571,Megacorp
Deric Cahill & Brooklynn Cahill,572,Family founder owned!
Piazza family,573,Family owned
Unilever,574,Megacorp
David Portnoy,575,Founder owned
Doss Cunningham with megacorp backing,576,Megacorp backed
Juste went public,577,Megacorp
"Drew Sutherland, David Cooper, and Glenn Baginski",578,Founder owned
The Hershey Company,579,
Kraft Heinz,580,Megacorp
Angela Sutherland & Evelyn Rusli,581,Female Founder owned
Johnson & Johnson,582,Megacorporation
Kellanova,583,Megacorporation
